City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,port alfred,-33.5906,26.891,15.73,76,29,4.9,ZA,1718322994
165,nelson bay,-32.7167,152.15,15.0,86,99,0.89,AU,1718323127
166,gobabis,-22.45,18.9667,9.45,35,0,4.32,NA,1718323256
167,roma,43.2128,-75.4557,25.6,85,60,2.65,US,1718323188
168,kerikeri,-35.2268,173.9474,18.84,88,81,4.47,NZ,1718322987
169,acarau,-2.8856,-40.12,25.26,82,80,5.56,BR,1718323256
170,zhangye,38.9342,100.4517,23.99,32,69,3.46,CN,1718323256
171,maiduguri,11.8464,13.1603,29.26,53,95,7.29,NG,1718323251
172,san jose iturbide,21.0,-100.3833,27.04,33,89,10.16,MX,1718323181
173,tura,25.5198,90.2201,24.1,97,89,3.16,IN,1718322971
174,mount isa,-20.7333,139.5,18.87,42,0,1.54,AU,1718322965
175,dauphin,51.1494,-100.0502,21.08,49,20,2.06,CA,1718323257
176,hithadhoo,-0.6,73.0833,28.57,71,41,4.57,MV,1718322994
177,lihue,21.9789,-159.3672,30.58,68,20,6.17,US,1718322988
178,mogocha,53.7333,119.7667,17.59,59,18,1.35,RU,1718323257
179,stung treng,13.5259,105.9683,27.65,72,35,1.21,KH,1718323257
180,shahrud,36.4182,54.9763,23.02,44,100,2.49,IR,1718323257
181,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1718322989
182,nyandoma,61.669,40.1991,12.08,94,94,2.03,RU,1718323257
183,atafu village,-8.5421,-172.5159,28.98,77,96,4.62,TK,1718323257
184,borogontsy,62.6683,131.1683,19.52,55,84,1.31,RU,1718323258
185,misratah,32.3754,15.0925,23.22,81,91,7.82,LY,1718323258
186,crane,31.3974,-102.3501,36.45,23,0,4.95,US,1718323258
187,queenstown,-31.8976,26.8753,8.37,54,0,1.92,ZA,1718323258
188,bamboo flat,11.7,92.7167,27.05,94,40,3.09,IN,1718322996
189,margate,51.3813,1.3862,12.17,85,100,6.26,GB,1718323060
190,ambodifotatra,-16.9833,49.85,23.84,86,24,4.05,MG,1718323258
191,kangding,30.0513,101.9603,15.19,91,100,0.8,CN,1718322984
